datum,datum_iso,timestamp_hour,stunde,hour_label,weekday_num,weekday_name,month,month_name,is_weekend,geraet_id,standort,direction,latitude,longitude,speed_limit_kmh,kfz,pkw,lkw,lfw,krad,van_or_bigger,fahrrad,all_vehicles,v_kfz,v_pkw,v_lkw,v85,v85_minus_avg_speed,v85_above_limit,bike_share_all_pct,car_share_motorised_pct,motorbike_share_motorised_pct,van_or_bigger_share_motorised_pct
01.04.2025,2025-04-01,2025-04-01 14:00:00,14,14:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.520678,13.409447,30,351,297,17,28,9,45,260,611,33.7,34.7,28.3,40.8,7.1,True,42.6,84.6,2.6,12.8
01.04.2025,2025-04-01,2025-04-01 15:00:00,15,15:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.520675,13.409146,30,468,402,23,29,14,52,297,765,33.3,34.0,28.9,40.5,7.2,True,38.8,85.9,3.0,11.1
01.04.2025,2025-04-01,2025-04-01 16:00:00,16,16:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.521358,13.408966,30,680,594,36,29,21,65,291,971,34.0,36.4,17.2,44.1,10.1,True,30.0,87.4,3.1,9.6
01.04.2025,2025-04-01,2025-04-01 17:00:00,17,17:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.521532,13.410293,30,628,529,30,59,10,89,333,961,30.2,31.9,20.8,37.2,7.0,True,34.7,84.2,1.6,14.2
01.04.2025,2025-04-01,2025-04-01 18:00:00,18,18:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.520805,13.410064,30,808,677,57,57,17,114,314,1122,29.7,31.0,23.0,37.7,8.0,True,28.0,83.8,2.1,14.1
01.04.2025,2025-04-01,2025-04-01 19:00:00,19,19:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.520951,13.409691,30,732,622,42,57,11,99,272,1004,35.8,37.1,28.3,41.8,6.0,True,27.1,85.0,1.5,13.5
01.04.2025,2025-04-01,2025-04-01 20:00:00,20,20:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.520506,13.409903,30,487,424,19,37,7,56,252,739,29.3,29.3,29.7,35.6,6.3,True,34.1,87.1,1.4,11.5
01.04.2025,2025-04-01,2025-04-01 21:00:00,21,21:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.520591,13.408952,30,265,238,9,14,4,23,147,412,39.8,41.5,24.5,49.6,9.8,True,35.7,89.8,1.5,8.7
01.04.2025,2025-04-01,2025-04-01 22:00:00,22,22:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.520215,13.408885,30,154,135,9,6,4,15,135,289,32.1,32.2,31.2,42.2,10.1,True,46.7,87.7,2.6,9.7
01.04.2025,2025-04-01,2025-04-01 23:00:00,23,23:00,1,Tuesday,4,April,False,DEV-1001,Example St.,Inbound,52.521354,13.408848,30,81,70,5,4,2,9,97,178,33.2,33.6,30.5,43.1,9.9,True,54.5,86.4,2.5,11.1
02.04.2025,2025-04-02,2025-04-02 00:00:00,0,00:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.52012,13.410113,30,46,40,3,2,1,5,78,124,31.2,32.0,26.0,35.8,4.6,True,62.9,87.0,2.2,10.9
02.04.2025,2025-04-02,2025-04-02 01:00:00,1,01:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.521438,13.409036,30,48,43,2,2,1,4,108,156,39.9,41.7,23.8,49.5,9.6,True,69.2,89.6,2.1,8.3
02.04.2025,2025-04-02,2025-04-02 02:00:00,2,02:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.521297,13.41011,30,44,38,2,3,1,5,106,150,40.7,43.2,24.4,51.0,10.3,True,70.7,86.4,2.3,11.4
02.04.2025,2025-04-02,2025-04-02 03:00:00,3,03:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.521395,13.410074,30,57,48,3,5,1,8,63,120,34.8,35.3,32.2,39.9,5.1,True,52.5,84.2,1.8,14.0
02.04.2025,2025-04-02,2025-04-02 04:00:00,4,04:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.521547,13.409147,30,56,48,4,3,1,7,95,151,36.1,37.2,29.5,45.8,9.7,True,62.9,85.7,1.8,12.5
02.04.2025,2025-04-02,2025-04-02 05:00:00,5,05:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520173,13.409395,30,71,61,5,3,2,8,123,194,39.5,40.4,33.9,45.6,6.1,True,63.4,85.9,2.8,11.3
02.04.2025,2025-04-02,2025-04-02 06:00:00,6,06:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520862,13.409851,30,167,144,8,12,3,20,150,317,33.0,33.9,26.8,43.0,10.0,True,47.3,86.2,1.8,12.0
02.04.2025,2025-04-02,2025-04-02 07:00:00,7,07:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520495,13.409353,30,414,357,25,25,7,50,221,635,32.7,34.7,20.1,39.0,6.3,True,34.8,86.2,1.7,12.1
02.04.2025,2025-04-02,2025-04-02 08:00:00,8,08:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520001,13.409159,30,556,461,38,41,16,79,255,811,27.4,28.5,22.3,35.2,7.8,True,31.4,82.9,2.9,14.2
02.04.2025,2025-04-02,2025-04-02 09:00:00,9,09:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520136,13.409525,30,475,416,24,25,10,49,271,746,34.8,36.8,20.9,40.3,5.5,True,36.3,87.6,2.1,10.3
02.04.2025,2025-04-02,2025-04-02 10:00:00,10,10:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.52136,13.408817,30,290,254,17,15,4,32,215,505,35.8,37.0,27.3,43.1,7.3,True,42.6,87.6,1.4,11.0
02.04.2025,2025-04-02,2025-04-02 11:00:00,11,11:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520171,13.40938,30,282,246,14,15,7,29,158,440,38.9,40.7,27.2,48.1,9.2,True,35.9,87.2,2.5,10.3
02.04.2025,2025-04-02,2025-04-02 12:00:00,12,12:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520953,13.41022,30,342,290,15,30,7,45,195,537,33.9,35.9,22.8,44.3,10.4,True,36.3,84.8,2.0,13.2
02.04.2025,2025-04-02,2025-04-02 13:00:00,13,13:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520396,13.40972,30,371,312,24,25,10,49,227,598,32.2,33.8,23.6,38.2,6.0,True,38.0,84.1,2.7,13.2
02.04.2025,2025-04-02,2025-04-02 14:00:00,14,14:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.52037,13.40981,30,370,329,13,22,6,35,235,605,31.7,31.9,30.4,37.0,5.3,True,38.8,88.9,1.6,9.5
02.04.2025,2025-04-02,2025-04-02 15:00:00,15,15:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.521371,13.409925,30,391,343,19,21,8,40,243,634,36.7,38.4,24.8,45.4,8.7,True,38.3,87.7,2.0,10.2
02.04.2025,2025-04-02,2025-04-02 16:00:00,16,16:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520353,13.409051,30,519,434,32,44,9,76,282,801,29.2,30.9,20.2,37.3,8.1,True,35.2,83.6,1.7,14.6
02.04.2025,2025-04-02,2025-04-02 17:00:00,17,17:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.52063,13.409603,30,599,528,29,30,12,59,325,924,33.9,34.9,27.0,38.6,4.7,True,35.2,88.1,2.0,9.8
02.04.2025,2025-04-02,2025-04-02 18:00:00,18,18:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.521203,13.410031,30,759,673,26,48,12,74,218,977,27.9,27.9,28.5,34.7,6.8,True,22.3,88.7,1.6,9.7
02.04.2025,2025-04-02,2025-04-02 19:00:00,19,19:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.521519,13.409019,30,573,486,41,33,13,74,265,838,30.2,32.1,19.7,39.3,9.1,True,31.6,84.8,2.3,12.9
02.04.2025,2025-04-02,2025-04-02 20:00:00,20,20:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.521197,13.408883,30,409,356,22,21,10,43,151,560,33.1,34.3,25.2,41.2,8.1,True,27.0,87.0,2.4,10.5
02.04.2025,2025-04-02,2025-04-02 21:00:00,21,21:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.521105,13.409704,30,296,251,13,23,9,36,152,448,29.1,29.0,29.9,34.0,4.9,True,33.9,84.8,3.0,12.2
02.04.2025,2025-04-02,2025-04-02 22:00:00,22,22:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.52081,13.409246,30,155,132,5,14,4,19,147,302,31.3,31.6,29.6,38.0,6.7,True,48.7,85.2,2.6,12.3
02.04.2025,2025-04-02,2025-04-02 23:00:00,23,23:00,2,Wednesday,4,April,False,DEV-1001,Example St.,Inbound,52.520432,13.409993,30,92,78,5,7,2,12,91,183,28.2,28.0,28.9,38.5,10.3,True,49.7,84.8,2.2,13.0
03.04.2025,2025-04-03,2025-04-03 00:00:00,0,00:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520744,13.409677,30,50,43,2,4,1,6,94,144,41.3,43.1,30.2,47.2,5.9,True,65.3,86.0,2.0,12.0
03.04.2025,2025-04-03,2025-04-03 01:00:00,1,01:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520016,13.410217,30,41,35,2,3,1,5,109,150,38.1,40.5,23.8,44.3,6.2,True,72.7,85.4,2.4,12.2
03.04.2025,2025-04-03,2025-04-03 02:00:00,2,02:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.521107,13.40919,30,55,47,3,4,1,7,96,151,34.9,36.5,25.7,40.7,5.8,True,63.6,85.5,1.8,12.7
03.04.2025,2025-04-03,2025-04-03 03:00:00,3,03:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520308,13.408891,30,49,42,3,3,1,6,97,146,34.7,35.6,29.3,39.9,5.2,True,66.4,85.7,2.0,12.2
03.04.2025,2025-04-03,2025-04-03 04:00:00,4,04:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520311,13.409064,30,56,47,3,4,2,7,85,141,31.8,32.8,26.6,36.9,5.1,True,60.3,83.9,3.6,12.5
03.04.2025,2025-04-03,2025-04-03 05:00:00,5,05:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.521396,13.409619,30,61,51,4,4,2,8,106,167,40.0,41.7,31.3,47.4,7.4,True,63.5,83.6,3.3,13.1
03.04.2025,2025-04-03,2025-04-03 06:00:00,6,06:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520086,13.408939,30,170,142,12,11,5,23,128,298,31.9,32.7,27.7,40.2,8.3,True,43.0,83.5,2.9,13.5
03.04.2025,2025-04-03,2025-04-03 07:00:00,7,07:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520708,13.410076,30,381,319,24,28,10,52,278,659,31.1,31.7,27.6,38.3,7.2,True,42.2,83.7,2.6,13.6
03.04.2025,2025-04-03,2025-04-03 08:00:00,8,08:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520278,13.40882,30,562,472,33,49,8,82,311,873,31.8,32.4,28.3,37.2,5.4,True,35.6,84.0,1.4,14.6
03.04.2025,2025-04-03,2025-04-03 09:00:00,9,09:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.521261,13.4097,30,458,391,19,36,12,55,186,644,25.2,25.2,25.3,35.2,10.0,True,28.9,85.4,2.6,12.0
03.04.2025,2025-04-03,2025-04-03 10:00:00,10,10:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.521198,13.409611,30,360,300,20,31,9,51,188,548,34.8,36.2,27.8,41.1,6.3,True,34.3,83.3,2.5,14.2
03.04.2025,2025-04-03,2025-04-03 11:00:00,11,11:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520516,13.409101,30,245,208,16,16,5,32,192,437,33.9,35.0,27.4,40.9,7.0,True,43.9,84.9,2.0,13.1
03.04.2025,2025-04-03,2025-04-03 12:00:00,12,12:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520753,13.409742,30,375,308,25,33,9,58,219,594,32.8,33.9,27.9,41.8,9.0,True,36.9,82.1,2.4,15.5
03.04.2025,2025-04-03,2025-04-03 13:00:00,13,13:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520528,13.40981,30,308,273,16,14,5,30,217,525,31.0,31.0,30.9,40.7,9.7,True,41.3,88.6,1.6,9.7
03.04.2025,2025-04-03,2025-04-03 14:00:00,14,14:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.521581,13.409752,30,442,386,22,26,8,48,252,694,36.5,38.0,26.4,44.1,7.6,True,36.3,87.3,1.8,10.9
03.04.2025,2025-04-03,2025-04-03 15:00:00,15,15:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520701,13.409817,30,453,380,28,33,12,61,223,676,34.7,35.5,30.6,44.7,10.0,True,33.0,83.9,2.6,13.5
03.04.2025,2025-04-03,2025-04-03 16:00:00,16,16:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520738,13.408888,30,651,564,25,47,15,72,312,963,39.8,41.4,29.2,49.7,9.9,True,32.4,86.6,2.3,11.1
03.04.2025,2025-04-03,2025-04-03 17:00:00,17,17:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.521475,13.409513,30,724,612,30,60,22,90,376,1100,30.7,31.2,27.8,37.5,6.8,True,34.2,84.5,3.0,12.4
03.04.2025,2025-04-03,2025-04-03 18:00:00,18,18:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520939,13.410298,30,877,745,40,75,17,115,332,1209,30.8,32.4,21.8,37.1,6.3,True,27.5,84.9,1.9,13.1
03.04.2025,2025-04-03,2025-04-03 19:00:00,19,19:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520915,13.409074,30,570,488,31,40,11,71,330,900,29.3,29.9,25.7,38.0,8.7,True,36.7,85.6,1.9,12.5
03.04.2025,2025-04-03,2025-04-03 20:00:00,20,20:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520059,13.409504,30,401,343,25,24,9,49,275,676,36.0,38.8,19.4,43.5,7.5,True,40.7,85.5,2.2,12.2
03.04.2025,2025-04-03,2025-04-03 21:00:00,21,21:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.520751,13.410251,30,298,255,16,19,8,35,204,502,29.1,29.1,29.3,34.5,5.4,True,40.6,85.6,2.7,11.7
03.04.2025,2025-04-03,2025-04-03 22:00:00,22,22:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.521396,13.408757,30,159,133,10,13,3,23,138,297,31.4,31.4,31.4,40.5,9.1,True,46.5,83.6,1.9,14.5
03.04.2025,2025-04-03,2025-04-03 23:00:00,23,23:00,3,Thursday,4,April,False,DEV-1001,Example St.,Inbound,52.52111,13.410145,30,85,74,5,5,1,10,87,172,27.8,28.6,22.5,35.0,7.2,True,50.6,87.1,1.2,11.8
04.04.2025,2025-04-04,2025-04-04 00:00:00,0,00:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.521393,13.409692,30,53,46,2,4,1,6,62,115,35.1,36.6,25.2,40.1,5.0,True,53.9,86.8,1.9,11.3
04.04.2025,2025-04-04,2025-04-04 01:00:00,1,01:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520253,13.409407,30,54,48,2,3,1,5,83,137,36.9,38.9,20.9,45.5,8.6,True,60.6,88.9,1.9,9.3
04.04.2025,2025-04-04,2025-04-04 02:00:00,2,02:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520915,13.40962,30,50,43,2,4,1,6,101,151,32.1,32.6,29.3,38.0,5.9,True,66.9,86.0,2.0,12.0
04.04.2025,2025-04-04,2025-04-04 03:00:00,3,03:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520795,13.410147,30,46,40,2,3,1,5,114,160,34.7,36.0,26.0,42.8,8.1,True,71.2,87.0,2.2,10.9
04.04.2025,2025-04-04,2025-04-04 04:00:00,4,04:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.521005,13.410145,30,56,48,3,4,1,7,101,157,33.2,34.9,22.7,42.7,9.5,True,64.3,85.7,1.8,12.5
04.04.2025,2025-04-04,2025-04-04 05:00:00,5,05:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520863,13.410254,30,67,59,4,3,1,7,103,170,34.7,36.0,25.1,40.0,5.3,True,60.6,88.1,1.5,10.4
04.04.2025,2025-04-04,2025-04-04 06:00:00,6,06:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.521541,13.408925,30,200,169,13,13,5,26,163,363,32.4,33.9,24.3,37.6,5.2,True,44.9,84.5,2.5,13.0
04.04.2025,2025-04-04,2025-04-04 07:00:00,7,07:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520728,13.409777,30,496,417,33,38,8,71,255,751,30.0,31.2,23.5,37.7,7.7,True,34.0,84.1,1.6,14.3
04.04.2025,2025-04-04,2025-04-04 08:00:00,8,08:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520354,13.408801,30,595,536,21,32,6,53,335,930,33.5,34.8,21.4,43.5,10.0,True,36.0,90.1,1.0,8.9
04.04.2025,2025-04-04,2025-04-04 09:00:00,9,09:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520217,13.409426,30,533,456,20,48,9,68,239,772,28.5,29.2,24.1,38.3,9.8,True,31.0,85.6,1.7,12.8
04.04.2025,2025-04-04,2025-04-04 10:00:00,10,10:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.521522,13.408752,30,322,280,20,16,6,36,226,548,36.6,37.8,29.0,43.6,7.0,True,41.2,87.0,1.9,11.2
04.04.2025,2025-04-04,2025-04-04 11:00:00,11,11:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520304,13.408895,30,271,236,9,20,6,29,211,482,36.3,37.7,26.6,43.2,6.9,True,43.8,87.1,2.2,10.7
04.04.2025,2025-04-04,2025-04-04 12:00:00,12,12:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.52011,13.409924,30,304,266,17,13,8,30,207,511,33.4,34.1,28.6,41.3,7.9,True,40.5,87.5,2.6,9.9
04.04.2025,2025-04-04,2025-04-04 13:00:00,13,13:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520401,13.408979,30,311,268,12,28,3,40,240,551,34.1,35.4,25.7,39.3,5.2,True,43.6,86.2,1.0,12.9
04.04.2025,2025-04-04,2025-04-04 14:00:00,14,14:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.521193,13.409462,30,329,292,13,19,5,32,185,514,38.9,40.2,28.6,46.6,7.7,True,36.0,88.8,1.5,9.7
04.04.2025,2025-04-04,2025-04-04 15:00:00,15,15:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.521542,13.408797,30,463,399,32,20,12,52,217,680,35.5,37.3,24.3,42.7,7.2,True,31.9,86.2,2.6,11.2
04.04.2025,2025-04-04,2025-04-04 16:00:00,16,16:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520877,13.40922,30,620,557,21,28,14,49,300,920,33.0,33.9,25.0,41.3,8.3,True,32.6,89.8,2.3,7.9
04.04.2025,2025-04-04,2025-04-04 17:00:00,17,17:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520722,13.409066,30,696,577,42,60,17,102,363,1059,29.6,31.8,19.2,35.4,5.8,True,34.3,82.9,2.4,14.7
04.04.2025,2025-04-04,2025-04-04 18:00:00,18,18:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520149,13.408855,30,720,623,43,44,10,87,309,1029,31.1,32.3,23.5,40.6,9.5,True,30.0,86.5,1.4,12.1
04.04.2025,2025-04-04,2025-04-04 19:00:00,19,19:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.521154,13.410249,30,648,574,30,32,12,62,337,985,26.7,27.6,19.7,36.4,9.7,True,34.2,88.6,1.9,9.6
04.04.2025,2025-04-04,2025-04-04 20:00:00,20,20:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.521292,13.410052,30,465,411,19,22,13,41,225,690,29.6,29.4,30.8,37.5,7.9,True,32.6,88.4,2.8,8.8
04.04.2025,2025-04-04,2025-04-04 21:00:00,21,21:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520544,13.40871,30,272,226,19,23,4,42,189,461,35.7,36.6,31.2,42.1,6.4,True,41.0,83.1,1.5,15.4
04.04.2025,2025-04-04,2025-04-04 22:00:00,22,22:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520592,13.409855,30,136,118,8,6,4,14,126,262,34.3,34.9,30.1,40.8,6.5,True,48.1,86.8,2.9,10.3
04.04.2025,2025-04-04,2025-04-04 23:00:00,23,23:00,4,Friday,4,April,False,DEV-1001,Example St.,Inbound,52.520707,13.409137,30,77,66,3,6,2,9,91,168,32.9,33.2,31.4,40.3,7.4,True,54.2,85.7,2.6,11.7
05.04.2025,2025-04-05,2025-04-05 00:00:00,0,00:00,5,Saturday,4,April,True,DEV-1001,Example St.,Inbound,52.520012,13.409182,30,35,30,2,2,1,4,77,112,38.1,39.8,27.8,46.2,8.1,True,68.8,85.7,2.9,11.4
05.04.2025,2025-04-05,2025-04-05 01:00:00,1,01:00,5,Saturday,4,April,True,DEV-1001,Example St.,Inbound,52.521333,13.40999,30,34,30,1,3,0,4,72,106,31.3,31.4,30.2,38.8,7.5,True,67.9,88.2,0.0,11.8
05.04.2025,2025-04-05,2025-04-05 02:00:00,2,02:00,5,Saturday,4,April,True,DEV-1001,Example St.,Inbound,52.520184,13.408733,30,45,37,3,4,1,7,46,91,29.4,30.4,24.9,36.4,7.0,True,50.5,82.2,2.2,15.6
05.04.2025,2025-04-05,2025-04-05 03:00:00,3,03:00,5,Saturday,4,April,True,DEV-1001,Example St.,Inbound,52.520633,13.409196,30,46,40,3,2,1,5,83,129,35.5,36.2,31.0,43.2,7.7,True,64.3,87.0,2.2,10.9
05.04.2025,2025-04-05,2025-04-05 04:00:00,4,04:00,5,Saturday,4,April,True,DEV-1001,Example St.,Inbound,52.521304,13.409078,30,39,34,1,3,1,4,70,109,32.1,32.2,30.9,41.5,9.4,True,64.2,87.2,2.6,10.3
05.04.2025,2025-04-05,2025-04-05 05:00:00,5,05:00,5,Saturday,4,April,True,DEV-1001,Example St.,Inbound,52.520718,13.410179,30,54,47,3,3,1,6,90,144,29.0,29.3,27.2,38.1,9.1,True,62.5,87.0,1.9,11.1
05.04.2025,2025-04-05,2025-04-05 06:00:00,6,06:00,5,Saturday,4,April,True,DEV-1001,Example St.,Inbound,52.52009,13.409512,30,154,136,9,7,2,16,125,279,30.5,30.8,27.9,36.6,6.1,True,44.8,88.3,1.3,10.4
05.04.2025,2025-04-05,2025-04-05 07:00:00,7,07:00,5,Saturday,4,April,True,DEV-1001,Example St.,Inbound,52.520887,13.409967,30,346,297,11,29,9,40,161,507,26.6,27.4,21.6,33.9,7.3,True,31.8,85.8,2.6,11.6
